WBICs	Kw_relative_0.25	Kw_relative_0.5	Kw_relative_0.75	Kw_relative_1	Kw_relative_1.25	Kw_relative_1.5	Kw_relative_2	Kw_relative_4
2462200	21.9450078392932	21.8216963448109	21.620392904203	21.2672129526083	20.536185507709	18.6399924116035	14.1948285395362	7.86825383607913
2462400	21.1105690607596	21.1105692872412	21.1105695004519	21.1105697048857	21.1105699002172	21.1105700848289	21.1105704227332	21.1104778083523
2463100	22.8187087286417	22.7667679799377	22.387800648362	21.8420443155172	21.230339075507	21.0702295275982	20.5614533117284	20.2542787597541
2463300	21.4947908281901	21.4007501363162	21.3073430295923	21.1012266760934	20.6182060126646	20.3915027188774	18.7468979660295	14.5928449760652
2463500	21.107530943258	20.7636888010803	20.5124656093615	20.3375375614805	20.224109653356	20.1592561120508	20.0710425729652	19.8094391880991
2464400	21.9596752263449	21.544916215182	21.2630422201661	21.0854199524918	20.9756013704559	20.9169294963849	20.8178890758848	20.2571762527787
2464500	22.5342568424798	22.4830202643522	22.3276608955879	21.6295258646661	18.1201892862824	13.97492071487	11.0452928546465	8.92221118591727
246500	23.3515188395244	23.2596695783245	18.0424543086959	12.8292734981104	10.8947209929657	10.0244190742282	9.59993713376971	8.97159116640753
2465100	21.6544003980539	21.5092705430666	18.6111296939027	12.2017974151983	8.9902579016734	7.6023239657081	6.14866865915842	5.23990394274569
2465600	22.3131261022849	22.1789861898057	22.0817872697745	22.0147799863657	21.9719004375087	21.9482046190985	21.9422784627157	21.9847762327071
2465700	22.2863522925793	19.1102817837712	9.54139054598888	6.7117645315789	5.72195358973402	5.32664491547451	4.97139124457449	5.00198161828851
2465800	21.9448209832789	21.8238040580123	21.7208594477979	21.6162929612102	21.483191813174	21.3091415017095	21.0627026154326	20.2357962611072
2466300	23.0468254451629	17.5687920189049	9.6800349360296	7.09552966906028	6.34286776545696	6.15505943826319	5.78955591772171	5.4475877540821
2466400	21.6086521654032	21.4541872276948	21.2887736596173	21.0596182590178	20.9296669667466	20.6718703680758	20.1150315068162	12.1159495120694
2466500	21.5538267951803	21.5538267953329	21.5538267954778	21.5538267956174	21.5538267957496	21.5538267958749	21.5538267961046	21.5538267968036
2467100	22.0835086478613	21.8728914156205	16.4994741546711	10.8511127341578	8.41433191394875	7.38338607207377	6.42047934317189	5.61121303584464
2467200	21.1559842413366	20.7122495843473	20.5165844756838	20.4551197773172	20.4431741141251	20.3541813258775	20.1871354215478	20.3052119898383
2467700	23.1468254325372	23.1063397544368	22.9832193307461	22.3510788653393	16.9005108524775	12.7291603813318	8.93709940866449	7.61161672739172
2467900	22.0142180429101	19.6950129496949	10.0146399534449	6.73417582270278	5.73153209132381	5.42560037143108	5.28822298682914	5.27116315714102
2468000	21.5722198705926	21.4925849301175	21.4146739949671	21.2830876078429	21.0516631893224	20.757560477223	20.3679592243934	18.5140857638608
2468200	NA	NA	NA	NA	NA	NA	NA	NA
2468300	21.5981412289819	21.5385229543996	21.3170378730904	20.8238867131761	20.2104343540208	17.4704799132529	12.0068600579997	7.64284158290939
2468800	20.7237030666159	20.5117943247948	20.3339487797402	20.1718715193101	20.0526737237881	19.9872545565437	19.9004385119704	19.6186703268676
2468900	20.0221300512549	8.35533239926649	7.0170386085912	6.74905380654254	6.71374972465116	6.65766244311653	6.68702042681106	6.66273302604674
246900	22.7850149845592	22.716858937708	22.6717342689531	22.5958626293012	22.4852015047232	22.347662733224	21.7776534413147	18.3745483994703
2469000	21.2126167286805	21.1489243918775	21.0573106329388	20.9590393021713	20.6516492564671	20.2244061739662	19.5528926107127	15.2532933245211
2469100	20.5044992915924	20.5044989596019	20.5044986334621	20.5044983268009	20.5044980327107	20.5044977500807	20.504497220569	20.5044955428193
2469300	21.3437845227506	19.2577546019026	11.2403378904678	7.97666156029829	6.75511740792671	6.0934898632689	5.48534804291846	5.98571267931467
2469800	21.7797047463017	21.6968773213298	21.6027088724385	21.485020357847	21.3376498769042	21.099558314073	20.7156095240889	17.1295307459763
2470000	21.6780314826083	21.5592365255252	21.3681476452667	20.9729476416081	20.6168419155767	20.5242885130706	19.8498392926535	18.3779149022974
2470100	22.6291918684983	22.7494920803953	22.8461216594254	22.9207886873079	22.9362203876029	22.9241170048564	22.8087544228893	21.4232254830773
2470300	21.6378764979218	21.5512977088681	21.2813352161508	20.7316433091692	19.2339060685718	15.0446401634154	10.9659133100412	7.01973568765578
2470600	22.4837518173987	20.5937652673735	11.5404675100877	8.49081041401754	7.54375432376249	7.03928084970104	6.72875127427542	6.78040720998005
2470800	22.3826889508446	22.2023170047569	14.19254191368	9.18531733531212	7.04884410024101	5.98348517944355	5.35470835573959	4.78592941405954
2471200	NA	NA	NA	NA	NA	NA	NA	NA
2471600	22.952310115416	22.8546039977918	22.4915206864342	21.2914307634001	16.3042943708174	12.2290728705181	11.7997297415705	9.78360133725415
2471700	21.5109104480417	21.1249555925805	20.864204822433	20.6879136943313	20.5380682129888	20.445803100378	20.2200991678385	17.7179656973763
2472300	22.337896806833	22.2036340417344	22.1073791541496	22.0148119122495	21.8842548088689	21.6904003363666	21.2527084611757	19.9603900178292
2472500	22.1085089334894	22.0178463226211	21.4591184907698	17.1818584230595	11.853579254633	9.81677735009104	7.49799491084121	5.68976749788357
2472900	21.4732942862455	21.3789014325459	21.2859019192594	21.0680447230598	20.6430254722804	20.1229091721124	17.187084404434	8.9010554795105
2473300	21.45437190048	21.3131710409135	21.1960625277437	21.0732563974344	20.8953398157536	20.6147337007957	19.8516976111425	13.8077428245221
2473500	21.3322787265878	21.2622506238043	21.2031730023649	21.0994454678883	20.7830679754298	20.4718456035896	19.6200608031926	15.2466199013869
2474400	22.2205592340208	22.0130213726858	15.1683651600547	10.0552415520485	7.92645922816333	7.14524801644051	6.16767375081017	5.36592742995938
