observed	modeled
12.629	0.52141
3.7578	-4.9992e-011
3.5107	14.344
12.311	12.863
2.7793	27.969
34.257	31.651
20.07	0.0001433
0.12098	1.7513e-012
1.1231	-2.5314e-012
1.0429	1.9196e-012
3.5688	0.64368
0.98872	2.7462
5.5045	-6.1182e-012
2.8739	5.5599e-012
6.4973	-4.3592e-012
5.0894	5.7085
1.169	7.4183e-013
0.35274	-4.0839e-012
0.2741	5.3534e-012
0.67961	8.3208e-012
0.13249	5.6135e-012
0.11259	-4.5428e-012
1.3305	1.0898e-011
7.5776	-7.2654e-013
4.4119	-1.6213e-012
0.60425	4.7722e-012
2.0077	4.1374e-012
1.0106	-7.6707e-012
0.2741	-2.9214e-012
2.4859	0.92175
0.048508	1.6902e-012
1.9349e-012	-2.3173e-012
0.39155	9.8656e-013
0.22275	-2.3708e-012
0.98853	1.5301
0.29313	7.0971e-012
0.31713	3.4491e-012
14.69	2.2283
4.5237	-4.8487e-012
0.50502	1.7819e-012
10.245	-4.2369e-012
2.1694	6.08e-012
2.1862	6.0723e-012
5.1991	-2.5849e-012
0.47387	-7.6325e-012
0.26259	4.711e-012
1.3298	-9.4068e-013
0.69299	4.6269e-012
1.7781	4.1925
4.4243	4.4319
0.35603	1.3307e-012
0.98912	2.0576
1.0309	-1.6366e-012
16.121	8.1303
2.9354	2.2637e-012
1.7734	0.83742
0.74327	5.2081e-012
1.6013	5.4682e-012
4.6958	-3.2503e-012
0.49054	-1.499e-012
4.6575e-012	-2.9367e-012
0.037581	-1.3231e-012
0.82692	-8.4126e-013
18.278	26.928
4.6932	-2.3326e-012
0.39637	-6.9059e-012
2.5354	9.7891e-013
4.3134	4.6116e-012
5.124e-013	-2.7226e-012
4.1317	6.2226
3.4415e-013	1.1778e-012
1.4151	-8.4126e-014
-7.1201e-012	6.5771e-013
0.12539	-4.2063e-013
2.1497	8.6343e-012
2.1965	2.7756
3.5529	3.8876
7.5185	4.5581e-012
15.903	-9.0244e-013
0.41823	1.1511
5.614	4.4156e-012
36.342	1.2548e-010
111.12	95.965
206.14	117.7
61.729	0.095143
165.63	113.86
116.35	2.5962
19.329	25.158
6.4364	0.93127
6.8358	1.6212
9.3027	0.11353
8.8207	2.3482
2.2515	3.1295e-011
2.6357e-011	3.1924e-011
8.3231	3.5598
4.1729	4.0429
2.0435e-011	3.4403e-011
