observed	modeled
10	8.5809
9.8269	8.7157
12.222	9.0261
12.965	8.4082
11.967	8.2084
12.222	8.3368
12.222	8.4603
7.1675	6.9027
13.383	8.9654
12.222	9.2461
12.778	9.4188
10.814	8.0695
12.222	9.1248
13.333	9.4641
12.778	8.5423
12.778	8.5493
9.293	7.8665
12.2	8.7914
10.546	8.4196
9.0784	7.9868
10.036	8.4078
12.778	8.9145
11.695	8.894
10	9.0284
6.992	7.2023
10.723	11.338
13.333	11.504
12.778	9.6949
13.889	8.1282
13.333	8.0154
13.333	8.2964
13.4	11.936
24.444	23.23
23.9	19.893
20.722	20.11
12.476	15.103
13	14.879
15.167	15.843
15.556	15.67
13.01	13.917
15.667	13.794
18.055	16.004
20.758	14.038
5.3568	5.7204
15	21.167
22	24.573
18	22.806
15.968	20.345
13.485	14.864
20.167	21.956
10.729	16.259
8.0034	15.026
13.389	23.102
5.6935	5.8501
6.3331	7.5336
7.6388	7.8184
6.7119	8.2006
5.9706	7.4501
6.1453	7.8395
6.2043	8.3884
6.2389	8.5267
6.331	8.8978
4.7995	6.1989
5.3136	6.6865
5.6997	7.084
5.6859	7.459
5.2731	5.0493
4.5842	6.1526
5.1676	6.8554
5.2141	6.8986
5.2796	7.4854
7.2	9.2879
5.8448	8.2414
6.2833	8.7819
5.3403	6.0875
7.1318	9.0338
6.7964	8.1111
7.1453	8.1411
8.1007	9.2106
8.2222	11.915
9.5442	8.0759
9.5805	8.0737
9.296	8.1043
9.4131	8.0972
9.5434	8.0984
9.704	8.0524
9.2095	8.0195
9.3728	8.436
9.4849	8.0741
6.3363	8.0475
7.8286	8.7988
8.445	9.0443
8.6503	9.1921
9.116	9.4353
9.3121	9.606
9.6235	9.6548
9.769	9.7343
9.8186	9.8405
9.5903	9.8143
9.3277	10.062
10.656	9.3404
7.7737	9.0373
8.3207	9.1246
9.1652	9.5023
9.7252	9.8249
9.692	10.187
9.2537	10.478
9.1937	10.227
9.1333	10.289
8.7261	10.134
6.4708	4.6169
9.229	7.7868
9.9501	7.5164
9.9883	7.7865
