WBICs	hc_relative_0.3	hc_relative_0.4	hc_relative_0.5	hc_relative_0.6	hc_relative_0.7	hc_relative_0.8	hc_relative_0.9	hc_relative_1	hc_relative_1.1	hc_relative_1.2	hc_relative_1.3	hc_relative_1.4	hc_relative_1.5	hc_relative_1.6	hc_relative_1.7
1660400	22.3895400234035	22.3236194128648	22.2715396642893	22.1998989273432	22.1715904542387	22.0945983634429	21.9818840661843	21.9763242805483	21.9179445939885	21.9005005594358	21.8626939195995	21.8367427485841	21.7991440962247	21.6815760517851	21.7899855310718
1660800	23.2391028176116	23.2242897611784	23.2242897611784	23.224289690008	23.2199049588302	23.2139991077598	23.2139991166581	23.2139991166581	23.2139991166581	23.2139991166581	23.2139991166581	23.2139991166581	23.2139991166581	23.2139991166581	23.2139991166581
1663400	23.239103474993	23.2391033754321	23.2242903265132	23.2242903265132	23.2242902515518	23.2199054408162	23.2139996457372	23.2139996099633	23.2139996099633	23.2139996099633	23.2139996099633	23.2139996099633	23.2139996099633	23.2139996099633	23.2139996099633
1663900	21.371390700688	21.3713906927621	21.3713906927621	21.3713906927624	21.3640381184732	21.3589426376836	21.3589426373979	21.3587172944851	21.3587172944851	21.3587172944851	21.3587172944851	21.3587172944851	21.3587172944851	21.3587172944851	21.3587172944851
1666000	22.8257285965381	22.8259690745748	22.8260979265899	22.8121174091043	22.8128188812899	22.7852918207195	22.775768667462	22.7737659616144	22.7618211408526	22.7603782586385	22.665621090897	22.7227778046563	22.6711928588652	22.6750399581528	22.6929083071971
166700	23.4185990472705	23.4185990472705	23.4185990472705	23.4185990472705	23.418599017766	23.4086777222468	23.408677708704	23.4037526615592	23.403752634946	23.4037526349467	23.4037526349467	23.4037526349467	23.4037526349467	23.4037526349467	23.4037526349467
1667400	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068	23.2709037895068
1667600	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647	22.5237603523647
1667700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1667800	17.8088071680711	16.9054914028366	16.7470571345315	16.523508411785	16.3809233945909	15.3518441800792	15.2892882389976	14.9285506253467	13.9676705605996	14.6558317283994	14.2032724375122	14.2032724375122	14.2032724375122	14.2032724375122	14.2032724375122
167000	22.4752274378366	22.4501891399535	22.488315234904	22.4823470191925	22.4858137183614	22.457685386786	22.4637162926221	22.4942855879993	22.4783427242618	22.445642483895	22.4509601163539	22.438615591661	22.4258454644246	22.4400725447373	22.4423233708017
1670030	4.3383549268678	4.3235250169912	4.2786006358283	4.27584834080051	4.27339849610888	4.27220858831079	4.27401651003767	4.26333065460869	4.26556078079843	4.26344755917674	4.25926620992516	4.25476064606299	4.2491530750129	4.24296569516771	4.24066013119891
1670820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1670830	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581	21.0233322159581
1678200	22.8960626619514	22.896046358964	22.8960213678305	22.8169730542938	22.8079027112545	22.7011072046684	22.6585186266572	22.6584943268792	22.5967797643098	22.4785710291543	22.4673210887859	22.4003044296568	22.2906420617655	22.2607403604708	22.2029107257481
168000	23.7928562272983	23.7928562272983	23.7928562272983	23.7928562272983	23.792926048796	23.792926048796	23.792926048796	23.792926048796	23.792926048796	23.792926048796	23.792926048796	23.792926048796	23.792926048796	23.792926048796	23.792926048796
168300	21.5411112907468	21.4999805249768	21.4999805249768	21.499980464592	21.4407623954161	21.4407623337826	21.402268418527	21.3836064226374	21.3670489360234	21.3133509657768	21.3133471225882	21.3133471225882	21.3133471225882	21.3133471225882	21.3133471225882
168400	14.2965345981411	14.1083790902459	13.88284708701	13.7396656862189	13.6408390576299	13.7951209019805	13.355471529712	12.6843697035316	12.4928401287609	12.5929517201729	12.1566773292686	11.9724838371507	11.9724838371507	11.9724838371507	11.9724838371507
168800	22.8522026616071	22.8522026616071	22.8384300762125	22.8384300762125	22.8384300704503	22.8384300704503	22.8384300704503	22.8293154683419	22.8241901757271	22.8248784961946	22.8224733622205	22.8192629113195	22.8061037420553	22.8061037420553	22.8061037420553
1694200	22.2101034361955	22.2071922798315	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506	22.2021904858506
1694700	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267	21.2045295920267
1701400	23.4304607333861	23.4304607333861	23.4161020111616	23.4161022634801	23.406175155201	23.4006263433276	23.4006295833127	23.4006295694919	23.4006295694919	23.400629442481	23.4006811677714	23.4006811677714	23.4006811677714	23.4006811677714	23.4006811677714
1701800	22.641069386391	22.6408789646869	22.6391896543037	22.639002412495	22.6373525388059	22.6375505337357	22.6371149421342	22.6274963587174	22.6292859348365	22.6270201903238	22.6283234574874	22.6274230014894	22.6274234226216	22.6274234226216	22.6274234226216
1704100	22.631031375617	22.6336811221871	22.6324249700656	22.6322827211168	22.6320780481412	22.6294315457993	22.6295915134254	22.6294114560421	22.6292217687687	22.6276485385477	22.6294400265608	22.6247812614635	22.6246766772276	22.6192409457647	22.6192210352651
1707400	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289	21.4747929165289
1708600	22.7384066212899	22.7569649959197	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814	22.7461257641814
1708800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
171000	14.1264537911371	13.9539605588303	13.8234389597684	13.5137168934149	12.603858585398	12.4882875558275	12.590461240464	12.2469780059741	11.7147554378437	11.6765768651337	11.6765768651337	11.6765768651337	11.6765768651337	11.6765768651337	11.6765768651337
1711500	22.0958789174924	21.9952811344815	21.8685760277973	21.7400345917987	21.6842511345142	21.5652833648105	21.5178191359213	21.4866965336858	21.4292576129715	21.4085168052121	21.4774460292934	21.4774460292934	21.4774460292934	21.4774460292934	21.4774460292934
1712800	21.1397446781768	21.052576037048	20.7527567263267	20.7524012862932	20.7187873620813	20.462559430683	20.4862695512625	20.4136255546863	20.3789059836394	19.6714178021365	18.7602936363032	14.8283543878319	15.3910774715996	15.250975957941	15.250975957941
1713200	21.7124428951319	21.6362539016041	21.5096064075342	21.489763686516	21.5993649257073	21.5795339008682	21.5795339008682	21.5795339008682	21.5795339008682	21.5795339008682	21.5795339008682	21.5795339008682	21.5795339008682	21.5795339008682	21.5795339008682
1714900	23.287421955534	23.2706693297279	23.2706598451525	23.2706598451525	23.2706598451621	23.2706596837764	23.2706596649409	23.2688687799698	23.2688687799711	23.2688687799711	23.2688687799711	23.2688687799711	23.2688687799711	23.2688687799711	23.2688687799711
1717100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1717300	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862	21.4251730340862
1717700	21.3957083866888	21.3957083866888	21.3957083866888	21.3957083866888	21.3957083866888	21.3957083866888	21.3957083866888	21.3957083866888	21.3957083866888	21.3957083866888	21.3754502693874	21.3754502693873	21.3754502677289	21.3754502677289	21.367184955468
1718500	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368	22.7081708614368
1722000	13.787063566455	11.9099089762448	11.9853391279748	12.0512398887097	12.8436376486801	12.9766929453411	12.7266893972837	12.5224893247104	12.1317908789426	11.9842618363821	12.0606719576995	12.0945348013356	11.7771522827632	11.6471700703752	11.7396003992739
1727000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1727200	22.6488916459208	22.6185097058748	22.6131872652022	22.6317872036661	22.5853418762393	22.5629994693152	22.5610450672522	22.5610450672522	22.5610450672522	22.5610450672522	22.5610450672522	22.5610450672522	22.5610450672522	22.5610450672522	22.5610450672522
1727700	10.4060553628662	10.4090643803686	10.4549129570258	10.4088035498843	10.3970158726235	9.70878856533592	9.56996394639684	9.57453002220337	9.58109960290983	9.52825777690949	9.48737521647973	9.46605632324962	9.39045576512559	9.25090494560654	9.24772197401505
173300	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975	21.7837187562975
173500	12.0505626121519	11.5578518982024	11.1611919556286	10.6947470263971	10.2249779208806	9.72987573252267	9.47367669767207	9.47367669767207	9.47367669767207	9.47367669767207	9.47367669767207	9.47367669767207	9.47367669767207	9.47367669767207	9.47367669767207
1735000	22.6468623351312	22.6468623351312	22.6468623351312	22.6468623351312	22.6468623351312	22.6468623351312	22.6468623351312	22.6331837366469	22.6331837366469	22.6331837366469	22.6331837366469	22.6331538318858	22.6331538273034	22.6331538273034	22.6331538273034
1736200	22.2064467086642	22.2064467086642	22.160939959043	22.160939959043	22.1611591325618	22.1536276703588	22.1216720433974	22.1216317974266	22.0380705122051	21.9584647633298	21.8054730715335	21.7563364774663	21.7561811069749	21.7560984762833	21.6791534253447
1753300	22.6056443283603	22.6056443283603	22.6056443283619	22.6056443283619	22.6056443283619	22.605491516886	22.605491516886	22.605491516886	22.605491516886	22.605491516886	22.605491516886	22.605491516886	22.605491516886	22.605491516886	22.605491516886
1753500	21.8276930018067	21.8276483780969	21.8138546967138	21.8138546967138	21.8138546967138	21.8138546967138	21.8138546967138	21.8138546967138	21.8138546967138	21.8138546967138	21.8070377471328	21.8070377471328	21.8070338937491	21.8070338937491	21.8030395225557
1756000	20.076417508495	20.076417508495	20.076417508495	20.0764128900751	20.0764128900751	20.0659563951976	20.0615428667682	20.0611177430846	20.0611177430846	20.0611177430846	20.0611177430846	20.0611177430846	20.0611177430846	20.0611177430846	20.0611177430846
175700	23.39158220181	23.39158220181	23.39158220181	23.3915822030913	23.3915824237827	23.3915824237827	23.3614906430772	23.3614906430772	23.3614906453762	23.2684070734919	23.243257608541	23.243257608541	23.243257609	23.243257609	23.2432620674171
