WBICs	hc_0.5	hc_2.66666666666667	hc_4.83333333333333	hc_7	hc_9.16666666666667	hc_11.3333333333333	hc_13.5	hc_15.6666666666667	hc_17.8333333333333	hc_20
10500	21.5113173828399	15.0104375615768	15.0104375615768	15.0104375615768	15.0104375615768	15.0104375615768	15.0104375615768	15.0104375615768	15.0104375615768	15.0104375615768
105200	22.5642013747692	22.5571027627095	22.5150391738329	22.4833803249982	22.4498630867402	22.4095601416452	22.3781384160033	22.3781384160033	22.3781384160033	22.3781384160033
105600	20.6654982221003	18.0667180000984	17.1846028358582	17.1846028358582	17.1846028358582	17.1846028358582	17.1846028358582	17.1846028358582	17.1846028358582	17.1846028358582
105800	21.3943061877468	19.8952740166418	18.8253236658241	17.8520759790442	17.8059422957714	17.8059422957714	17.8059422957714	17.8059422957714	17.8059422957714	17.8059422957714
106500	16.4338956718182	16.2515257593621	16.0817851868257	15.4370003896352	14.8419174435344	14.9355468259852	14.9355468259852	14.9355468259852	14.9355468259852	14.9355468259852
106600	22.6168666693779	22.5274208066501	22.4507918141955	22.2428106177091	22.2682233070622	22.2682233070622	22.2682233070622	22.2682233070622	22.2682233070622	22.2682233070622
106800	15.1016947137979	14.7698369023343	14.220422412634	13.0876619906332	12.8466387618237	12.8466387618237	12.8466387618237	12.8466387618237	12.8466387618237	12.8466387618237
106900	23.1668092855634	23.1684282114595	23.1641990905956	23.1629235051736	23.1706630252212	23.1822055914518	23.1789188064179	23.1648517964832	23.1646007371663	23.1646007371663
107400	22.5947380038789	22.573008023766	22.555566422371	22.555566422371	22.555566422371	22.555566422371	22.555566422371	22.555566422371	22.555566422371	22.555566422371
107500	22.4439254615553	22.4247681934558	22.4117382251654	22.3827824527337	22.3766539786462	22.3766539786462	22.3766539786462	22.3766539786462	22.3766539786462	22.3766539786462
107700	10.3713131663453	9.95647832019611	9.23956085640721	8.80133093956382	7.42835168107147	7.08975086032327	7.09207314014199	7.09207314014199	7.09207314014199	7.09207314014199
107900	10.5411379548416	10.5592514134098	10.5971372212994	10.4804204339622	10.4290752214467	10.3543105708817	9.64283175916585	9.44366472219504	8.97010535009654	9.23331420217266
108000	22.368296489466	22.368296489466	22.368296489466	22.368296489466	22.368296489466	22.368296489466	22.368296489466	22.368296489466	22.368296489466	22.368296489466
108200	13.0096349038001	12.7792795012696	12.3635937826926	12.2879849390674	11.8430666242343	11.1551079406162	10.6196910235741	9.92515689860708	9.5568629505709	9.5568629505709
114400	21.4611877698542	21.4245951389011	21.4245951389011	21.4245951389011	21.4245951389011	21.4245951389011	21.4245951389011	21.4245951389011	21.4245951389011	21.4245951389011
11500	22.6044791361822	22.5532244762173	22.5532244762173	22.5532244762173	22.5532244762173	22.5532244762173	22.5532244762173	22.5532244762173	22.5532244762173	22.5532244762173
11700	24.0951414641364	24.055128610922	24.055128610922	24.055128610922	24.055128610922	24.055128610922	24.055128610922	24.055128610922	24.055128610922	24.055128610922
117000	22.3334725895805	21.4544655437986	20.2260218777345	20.2365248378534	20.2365248378534	20.2365248378534	20.2365248378534	20.2365248378534	20.2365248378534	20.2365248378534
117100	22.9562461455866	22.8017242790066	22.668685001129	22.6097403571441	22.6097403571441	22.6097403571441	22.6097403571441	22.6097403571441	22.6097403571441	22.6097403571441
117400	22.6396173403936	22.6394823343503	22.6380036270596	22.6560029872391	22.6286926433326	22.628750103812	22.628750103812	22.628750103812	22.628750103812	22.628750103812
117500	6.7740182266272	6.08393585980029	5.91829715825311	5.64239729893481	4.98910190499984	4.95619065620004	4.95619065620004	4.95619065620004	4.95619065620004	4.95619065620004
117600	10.9911837798194	10.4394326625312	9.28626866901734	8.67606453082742	8.24991495301494	8.11577279472285	8.21528067445627	8.21528067445627	8.21528067445627	8.21528067445627
1176400	19.9070268271229	19.84643224756	19.8082048503091	19.7401635117267	19.7119695898094	19.730363494897	19.6784223834087	19.669898182766	19.669898182766	19.669898182766
1176500	20.1600999517275	20.1410200782879	20.1685816772713	20.1186133626213	20.1179504745863	20.1179504745863	20.1179504745863	20.1179504745863	20.1179504745863	20.1179504745863
