WBIC,mean.summer.flow.cfs,med.RT.days
284000,0.4,140
2163400,0.31,130
2962100,0.43,140
265100,2.89,180
355900,0.18,130
459300,0.54,140
1448300,0.37,140
2177400,0.29,140
323800,6.89,200
352200,7.09,200
804600,170,270
1522400,3.47,170
2668100,2.26,180
2693100,4.88,190
535500,0.43,150
1205000,0.43,140
2630900,0.31,140
2737800,0.58,150
2944000,0.38,140
1585000,0.23,130
2257200,0.12,130
1763000,0.62,150
2098800,1.4,180
2104300,2.54,180
2718500,4.11,200
2962900,11.8,210
5200,0.51,150
2673500,5.61,200
671000,0.06,130
2340300,0.16,140
704200,2.32,170
1613500,7.74,210
289600,0.21,140
353200,0.95,180
1690800,0.31,150
25100,7.31,220
614800,1.22,170
735100,1.45,170
2283300,28.8,250
1691000,0.3,150
635500,0.46,160
2668200,0.77,160
822200,0.55,170
1544800,12.2,230
2157000,14.9,230
1542600,3.48,210
2719300,0.05,130
849600,47.9,270
1597300,0.95,170
2310200,16.4,220
2710300,3.06,210
2945500,6.94,230
655100,0.12,140
810700,0.3,170
2081200,7.63,230
2105800,2.55,210
767100,1.14,190
339900,9.15,210
455200,0.7,180
490100,0.72,170
2107500,9.31,230
2332400,9.07,230
2735500,12.8,210
748100,0.27,180
2358600,0.19,150
470600,2.03,210
1513900,3.28,220
2935100,0.51,190
2953200,16.3,250
6100,0.11,160
2111500,0.4,190
2956400,0.15,160
1945100,0.26,160
42400,2.83,230
1596900,25.1,270
2714200,1.76,210
2962400,13.7,250
708800,0.31,170
26900,0.08,150
396700,0.81,180
142200,0.15,160
1592500,0.55,180
275600,0.43,170
489900,1.05,190
2242500,12.4,250
2619800,0.42,180
751100,0.68,200
1206900,0.17,170
1523800,4.99,220
2651800,16.2,270
2489700,2,220
1540500,1.48,200
2312200,0.27,170
1649900,0.08,150
537900,0.84,190
1764400,0.68,210
2175700,1.69,210
2417000,26.9,290
2685200,13.8,270
2904000,0.35,190
1341400,0.19,170
141400,15.3,240
1541300,4.22,220
1593400,9.7,240
2195300,0.29,200
2675700,3.95,250
666400,0.18,180
284300,0.76,210
2172600,1.18,200
2613500,0.04,150
632800,10.2,270
677400,4.19,250
702500,3.84,260
850500,0.11,170
2431000,0.89,200
2624600,4.41,260
2709800,6.65,270
7500,0.4,190
250300,0.11,170
2359900,0.18,180
610900,0.42,200
1545300,10.7,290
2314100,4.11,260
171200,0.13,170
285500,0.15,180
2652400,0.22,190
1607100,0.78,210
450600,0.61,210
672000,1.73,240
2113300,42.9,320
2320500,51.1,330
445900,0.67,200
2425500,0.11,170
618100,0.13,180
747100,4.33,270
1560400,1.75,220
2149700,0.19,190
2657200,6.53,280
296100,0.61,210
470900,1.08,240
2860510,0.11,180
447200,1.88,260
703300,0.61,200
903450,0.53,240
1614100,6.47,290
2310400,13.8,270
2355300,9.24,290
2615100,25.5,280
289400,2.07,260
1556100,0.94,220
2747300,17.1,320
2881200,0.72,240
1618400,0.23,200
2252500,0.63,220
548700,1.05,230
2268200,0.43,210
2630700,1.47,260
324000,0.28,230
1616900,13,280
1618300,0.88,230
1759400,0.19,200
447500,0.43,210
2356200,0.89,250
2338900,0.42,220
262400,3.66,290
855200,5.07,300
1445500,4.65,290
2326700,5.63,260
1629900,0.25,210
2627400,15.6,320
321300,2.83,280
656500,0.21,210
2960400,4.53,270
1033400,0.16,210
1313100,0.23,210
2512400,0.14,200
2639700,0.19,210
638700,0.61,230
672300,3.31,290
1619700,5.72,310
1626200,3.21,260
418100,0.18,220
2431300,2.19,290
268400,0.29,240
2348800,0.35,220
2650200,1.09,240
2693800,6.1,310
278100,0.63,230
649100,0.27,220
2256800,2.11,280
2304300,0.59,240
2178100,0.41,230
2350500,12.9,340
1557500,0.36,230
1598300,2.63,270
2340500,2.3,270
2638100,0.47,240
2876200,2.16,270
556900,6.03,290
1542100,1.12,260
2350200,16.1,360
2954300,1.68,270
2243500,0.5,260
2309000,0.47,240
2931100,0.56,240
85400,0.66,270
624400,0.23,230
2683200,0.25,240
265600,1.09,280
2714500,3.88,310
1512300,0.15,220
614200,2.46,280
1542400,40.7,390
1591100,42.9,390
2265600,0.33,240
2316100,1.39,290
173500,0.53,240
2394700,0.72,270
2606300,0.27,230
653900,1.22,260
975400,0.15,230
328100,0.09,220
2729800,1.03,290
2865000,24.3,380
1540400,4.61,330
2375300,0.42,250
485700,0.14,220
488300,0.15,230
38700,10,360
637700,0.44,250
747300,1.87,310
835800,24.8,390
2200000,0.16,230
709600,0.16,230
1677300,0.4,250
2710100,2.03,310
282000,0.31,240
376600,2.01,290
486200,0.88,270
621900,0.26,240
1603600,1.6,280
111600,0.05,210
2627200,0.71,260
540900,0.98,270
64200,0.93,300
2433600,0.57,260
1517300,0.3,250
2433700,0.06,210
644500,0.18,240
2343200,7.09,320
284100,0.36,250
2356800,0.39,280
2318800,0.65,270
2320700,0.15,230
1564400,2.25,300
493200,0.5,280
2303200,0.5,270
2651700,0.24,250
2957600,0.13,240
379300,0.57,270
706100,0.1,230
1541500,2.57,300
24000,0.44,290
750800,1.89,330
761100,1.21,320
66800,0.44,290
447300,0.56,270
1585700,0.31,260
2351800,0.77,280
805000,3.35,320
1523600,6.2,380
1242400,0.28,260
2356000,0.53,280
2751000,0.59,310
2866200,9.92,400
85300,0.78,290
2639100,0.45,280
2691800,0.81,320
1623700,15.2,420
2628800,0.91,330
778800,0.04,240
1557900,0.25,270
2652300,0.37,270
850300,44.1,410
1762800,0.16,260
557100,2.84,330
2079700,5.06,400
1510900,0.19,270
2330100,0.52,290
2345500,0.25,280
2634200,0.26,270
480100,0.58,290
530500,1.99,370
1769400,0.27,280
2267000,1.6,370
531500,0.21,270
2319800,0.6,310
1506200,1.53,340
279400,1.62,360
757900,5.06,410
2176200,0.7,310
2959300,2.25,380
139500,0.25,310
1615900,0.76,350
2310000,0.25,290
2170800,0.11,270
530700,0.4,310
1469100,2.53,390
2949200,6.24,430
378200,0.57,320
282500,0.13,290
2323400,2.69,360
1626400,0.51,320
800400,0.57,320
762700,8,450
2953800,3.07,420
456300,0.41,310
85000,0.03,260
2162200,0.09,280
347200,0.18,300
1584400,0.16,300
406900,13.3,430
799200,1.03,350
265000,3.12,420
97700,6.92,470
2217000,3.95,430
1447200,1.03,360
2631600,1.37,410
2667200,0.07,290
2877000,1.84,410
2858300,1.38,410
389700,1.67,420
1568900,0.91,360
388500,4.38,450
458700,4.43,460
20300,0.5,340
1410400,0.24,320
1590600,0.25,330
1884800,1.69,420
524700,2.45,400
2330800,5.25,470
2092800,0.94,360
1505200,0.09,300
1760700,0.27,340
541900,0.11,320
2251700,0.44,350
2336100,5.34,430
2356400,0.13,320
2490000,0.22,340
2876600,0.51,350
1534800,3.3,420
2650300,7.38,500
1504200,0.17,320
1575500,0.62,360
2316600,7.24,530
2334700,15.8,550
2706500,10.2,530
2947000,1.15,420
2099900,1.07,440
2178300,0.15,350
2630800,1.08,450
2960200,1.76,410
30300,1.32,490
42200,0.08,360
98600,6.15,540
496300,1.57,420
742800,6.29,550
763200,1.24,480
1406300,2.6,520
1579700,4.87,510
