lakeid,kd.avg.change,durStrat.avg.chng,max_schmidt_stability.avg.change,mean_schmidt_stability_JAS.avg.change,mean_schmidt_stability_July.avg.change,SthermoD_mean.avg.change,lake_average_temp.avg.change,mean_epi_temp.avg.change,mean_hypo_temp.avg.change,mean_surf_temp.avg.change,mean_bottom_temp.avg.change,mean_bottom_temp_365.avg.change,mean_surf_temp_365.avg.change,mean_1m_temp.avg.change,mean_surf_JA.avg.change,GDD_wtr_5c.avg.change,GDD_wtr_10c.avg.change,volume_mean_m_3.avg.change,simulation_length_days.avg.change,mean_volumetric_temp.avg.change
36200,0,0.1,2.62126706780967,1.1258608930913,2.50072775617813,-0.00424275540540998,-0.0164358678959466,0.0220428583552367,0.0308679154282864,-0.0271553692900168,0.0192748643071877,0.0199813475312023,0.0161195005855633,-0.0169071032921066,0.0743635732508566,6.50579737172334,4.727184489297,59.7014734513282,1.03333333333333,-0.01410379174651
36700,0,0,-1.13171396463462e-18,2.43906603499424e-16,8.73760678121255e-16,0,-0.000436211055063643,0.0455937683748334,0.0455937683748334,-0.000122772745460659,-0.000436211055063643,0.0303752386380969,0.0309638481696697,-0.091136547035,0.0302089264310636,10.2181383950364,6.26997767501273,-1071.55525024712,0.848484848484849,-0.000381000742915162
37800,0,0.787878787878788,0.919622490347124,0.102023150569794,0.471238234812567,-0.0717737754318276,NA,-0.0139668877547213,NA,0.00932631433654246,0.0234905733351061,0.0319529850091527,0.0327204028382818,0.00715822303040299,0.0365645135494243,10.5961301927018,6.28654770573788,-378.877254163758,0.727272727272727,0.00287143175995157
37900,0,0.696969696969697,0.569744584279727,-0.229583088945945,0.375389029739424,0.0416906550618182,-0.0171293650974637,0.080019251076006,0.0932975903807533,-0.0450838781261454,0.0189878614872627,0.0368305403481961,0.029931668775903,-0.0386798409163364,0.0354425201058909,11.3078224987576,6.58804200450939,-1820.70623566303,1.78787878787879,-0.0210890801130848
38200,0,0.727272727272727,0.554015548214121,-0.036036796773906,0.235652789299142,0.00665481306056454,NA,0.101061646509552,NA,0.0125544455393636,0.0111728130713181,0.0233623095242715,0.0361021925438848,0.0127777679346394,0.0369286228667606,11.7572681987376,7.36404419693031,-1142.44734312236,0.757575757575758,0.0106027756487575
38700,0,0.09375,1.91903075666144,0.690120559773062,1.94428690493822,0.00930542664599157,-0.0105657150313906,0.0492152201906125,0.0397868757851035,-0.0282011918727063,0.0273578572463541,0.0302477736004441,0.0168611340242938,-0.0187098640765124,0.0682199352677937,6.64776737963969,4.67269364762563,-1253.27600177185,1.0625,-0.011965959542625
40900,0,0,-0.0134323782267091,-0.000783842592693381,-0.000319958274122745,-0.00757575757575758,-0.0358937026943909,-0.00355053629651525,-0.00355053629651525,-0.0360383037815879,-0.0362246406799849,0.0343120069456848,0.0356744572694364,-0.035674610503709,0.0394765989618879,12.3674976769152,7.96485454507971,-604.095042834667,1.72727272727273,-0.0294830701554152
42200,0,0.545454545454545,-0.0345083221474282,-0.00099328681240985,0.000986724750546639,-0.00757575757575758,NA,-0.0433144430363516,NA,-0.0181194587486272,-0.0214891234500031,0.0196372998923424,0.0241570393395515,-0.0200793563526393,-0.0211179363514576,7.79164147027454,3.50677972261545,-137.351517008179,0.96969696969697,-0.0183018785014515
42400,0,0.757575757575758,0.525427702999697,-0.069755959283676,0.484718807093582,0.00490309842724454,0.0158460063918727,0.0443960058600212,0.0597342860888269,0.0112714670213667,0.0431048930873215,0.0393186805976797,0.0328876952428151,0.00793791200705463,0.0320761389373849,10.7000419925136,6.22735909543788,-1295.03265844242,0.696969696969697,0.0147549407915818
42800,0,0.423076923076923,-0.0235017303993462,0.0173904092443322,0.0626189103767025,0,-0.0282365577892231,0.0839432514664577,0.0839432514664577,-0.0344835207346692,-0.0301405832436538,0.0234803847933962,0.0222090786538,-0.0254974349668115,0.0824274555377923,8.1773212063527,6.26405160082731,-71.0122113525778,1.26923076923077,-0.0302650993226999
43300,0,0.625,-0.0317831979820291,-0.00130540576457077,-0.000184605225319456,-0.0078125,-0.0469926425745844,0.00400974825006883,0.00400974825006883,-0.0495903052742406,-0.0459438923318843,0.0326979455395907,0.0321315129710906,-0.04690367567625,0.0276167921475374,11.2626284930822,6.90962426729812,-291.436984898178,1.78125,-0.0395873581884749
43700,0,0.212121212121212,0.153694556595752,0.0103742921576697,0.258520543507233,-0.00393698389663363,-0.037069660408897,0.0442791662752394,0.0193038081219818,-0.0454532301032424,-0.0250886570671788,0.0226000485418209,0.0297865645616667,-0.0380982090751879,0.0325327835460879,10.4922053029845,6.23595042034364,-782.082311768242,1.75757575757576,-0.0350766238708939
