WBIC,Secchi_satellite,Secchi
2420600,2.953272625,1.05
2423000,1.505060461,1.05
2429600,1.115700995,1.5
2430300,2.988354419,1.1
2431300,1.911293396,2.1
2434700,2.571743621,2.1
2435000,3.439243645,2.55
2435900,2.94982427,3.9
2436000,2.877598379,3.1
2436400,2.848917993,2.7
2448700,3.718437965,1.2
2449400,4.010009361,
2450800,3.259580644,2.9
2451200,2.360667069,2.4
2451300,4.67215771,5.1
2452400,2.181552651,2.075
2453400,2.227032534,1.8
2456100,2.454070688,2.4
2458300,3.280233071,1.15
2459100,2.593084407,2.7
2459700,3.123710418,2.4
2459800,3.481522479,3.6
2463100,0.735888211,0.9
2467200,2.225774007,1.5
2467700,3.257890885,3.3
2467900,3.691320098,4.2
2468900,0.954067069,
2470800,4.49297001,4.2
2474400,2.449103507,2.35
2475300,2.881205183,1.5
2477000,2.363065672,3
2479900,4.77766314,
2480800,2.972198128,4
2481600,3.063577035,5.7
2485900,2.147847991,3
2488100,1.340328388,2.25
2488600,2.363492139,1.45
2489200,3.477626206,6.9
2489300,1.992456139,3
2490500,3.809814931,21
2491500,1.669461024,3
2492100,2.25876809,3.3
2492900,4.121260251,1.166666667
2493100,3.120749034,3.6
2494500,4.327973543,5.7
2494900,4.603597554,4.5
2495000,6.107442797,16
2495100,4.699946545,5.9
2495300,2.478303232,4.5
2495600,1.581553706,2.3
2496300,2.713940109,3.4
2496900,3.487208051,3.3
2497400,2.346774334,2.2
2498600,3.614508801,3.9
2499000,0.925193452,2.1
2500500,4.007095183,
2502000,4.236591016,3.3
2598600,1.620948201,4.325
2599400,2.092807665,
2607100,2.414584246,1.5
2607400,2.963918156,2.1
2608800,3.215280879,3.6
2614600,2.488169214,2.5
2616100,4.653189537,
2616200,0.534331656,
2616400,3.927348049,
2618000,1.498253332,
2619100,2.637001496,0.9
2619400,4.942113898,16
2620000,1.86618624,
2621600,2.165515183,
2621900,3.447707054,1.5
2623900,4.070795557,0.9
2624000,4.285472005,1.4
2624200,3.29252541,
2624600,0.679458615,
2627000,0.997475664,4
2627400,1.184096117,1.95
2628100,2.170919045,6.95
2628600,1.237560638,0.6
2628800,2.335460259,
2630100,2.315157029,
2630200,5.095258645,
2631200,0.664684724,
2638700,1.522909097,0.9
2640100,1.042668751,0.6
2640500,1.098040401,
2641000,1.034988528,
2642000,1.273983377,4
2649800,1.922916295,1.5
2655300,1.583737863,0.9
2655900,3.74357907,3
2656200,1.640274879,1.5
2661600,2.184856091,
2662400,1.684156304,0.9
2664500,0.668303133,1
2665900,0.792259681,
2666400,2.334796124,1.5
2668100,0.711718424,0.8
2669300,1.786908128,
2670600,2.3095236,3
2670700,2.865013429,2.7
2670900,3.309978402,3.3
2671000,3.038891017,3.8
2671100,2.885486668,2.7
2671900,2.72538127,3
2672500,3.436560658,3.2
2673500,2.223874141,2.35
2674000,2.175493824,1.8
2674100,4.396632099,6.15
2674200,5.774389583,5.4
2674800,1.312260138,
2675000,3.010808075,1.2
2675200,1.787760557,
2676800,2.773272042,3.55
2677700,1.413363755,0.6
2685200,2.534151965,
2688800,2.976247898,1.45
2691500,3.26545175,2.4
2691800,2.243339803,1.8
2691900,4.237825918,5.7
2692900,1.611708343,1.2
2693100,2.177158839,2.7
2693700,6.032520785,6
2693800,4.342952776,5.4
2694000,5.517984143,4.5
2695800,2.312587898,4.5
2702100,2.390951037,1.8
2704200,1.535988454,1.2
2706300,2.856996277,3
2706500,3.108856515,2.7
2706800,3.459963066,2.1
2709800,2.627496427,2.4
2710300,2.033221498,1.65
2710800,2.379640422,3.9
2712800,2.666107472,1.2
2714500,2.201756179,1.2
2718500,2.573536219,
2719400,2.143514975,2.4
2721600,1.758949681,3.6
2724900,2.104760735,2.1
2725500,1.954414628,3.25
2726100,2.167047021,
2729700,3.001949323,3.95
2729800,3.134592103,2.7
2732600,1.779391024,1.9
2734000,4.032966882,5.7
2734500,3.44316046,1.2
2740300,3.145403284,2.3
2741600,2.716225267,4.8
2742500,4.17946143,6.3
2742700,4.252226291,7.8
2743300,2.7994623,3.6
2744500,2.72702102,1.55
2744700,2.893281923,2.1
2747300,1.373100048,1.5
2754900,3.984091126,3.65
2756200,3.470830794,4.2
2762200,3.111363564,3.85
2762700,2.184038285,3
2763300,3.768942054,4.2
2765900,2.555090409,3.425
2766200,5.258995333,4.95
2767100,2.766955855,20.4
2767300,2.247145973,2.7
2770700,4.232150737,2.15
2832200,3.737153865,3
2856400,1.813086197,1.2
2858100,0.733966607,1.65
2858300,0.734979631,1.35
2865000,2.279501531,3.6
2866200,2.61192984,2.1
