WBIC	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
WBIC_2109800	15.0553571520781	15.5310735942997	15.1053678801013	15.9194040559353	16.0619184486952	15.4639601135379	15.5239445899038	15.7991929209628	15.8254669406267	15.8004609240766	14.5604109098179	15.1934653160093	14.8780269231824	14.8553494322184	14.7045856724442	15.4109941937308	15.3067795567489	15.1592481608345	15.0654000024557	15.3901561984518	14.7929310146659	15.0516319876176	15.0508969762574	15.546392257298	15.9194854588449	14.7899259359894	16.1468019321158	15.3976467386369	16.2811548221414	15.8319408838537	14.4586334759505	15.4916939238437	15.3119986065748
WBIC_2704200	14.3109656907577	15.379167328592	13.1837511256672	15.4713363069625	16.4067927130376	15.7703959867742	15.3673205226557	14.8347500896181	15.9672197585155	15.8944482574835	13.9738822247351	14.9274013203492	16.0974167401297	14.4466806642121	13.57490358892	14.8825866970584	14.6037311060204	15.0856223775768	13.7662058283253	15.1293440216096	13.836980473179	13.34967936445	14.5621638165387	16.0120798311554	15.0306268154103	14.7980665670828	16.6849503952479	14.9848928630428	16.0735851569899	15.5729053439647	14.0243549528876	13.6896075126187	15.2513925300772
WBIC_2661600	9.57383285815995	9.53878954131264	10.4302065351235	9.86621737863386	10.1882376807369	11.0202434861429	10.0152817234765	10.9325244874794	10.1983452115064	10.1024898974105	9.64399136528636	10.1057452458592	9.95281385779288	10.0035787106416	9.74047545958335	10.4798535671317	10.2245223878228	9.43346913504156	10.2921026671012	10.2230037439016	9.92625254247353	10.0579823225733	9.6784735475122	10.9996357006022	10.7860086726127	10.4165108091171	11.047663854728	10.392916305719	10.8102797592992	10.8799596880584	10.9445487038612	10.845635135315	10.3755579709534
WBIC_2267800	13.4631888959492	13.8193742744712	13.5922049908046	14.8087004930089	14.7280010139682	14.5652544870226	14.7241537424083	14.8052413479457	14.8932140063853	14.0705190150433	13.8128972186669	14.4599814314116	14.2307098611541	13.5900580552437	13.5163780760414	14.019504828997	13.9963984831904	14.6410534919533	13.986622290465	13.8994204142247	13.6463886314661	13.9366112020279	13.6691659475687	14.7081576404219	14.7573701173125	13.663303463823	15.2898109743441	14.141791101256	15.2865357999445	14.6651784206902	13.1802507053942	13.7547793682751	14.3515526168158
WBIC_2675200	14.2896684567498	14.014737903886	13.8137374328865	16.2099016745338	12.0157653801291	14.8923009308869	15.8077010563462	15.2325970246188	15.5950698298611	13.1965241992707	13.3879124119088	14.9283757016418	15.269230376552	15.1423385075032	13.3167287810973	13.8433549805558	14.7062122596871	15.6823149089703	14.4134978381908	14.7850413474668	13.7219554835969	13.5173801105167	14.7503818172211	14.4120696031489	14.3675158685206	14.9413970547895	15.6544001646244	14.6311891694436	16.2850033552397	15.526279095551	14.6053888079051	13.9814742685402	15.8272872102643
WBIC_68600	7.64249590773952	7.33600112670542	7.3535476258772	7.34301490178707	7.41632051319712	7.55392797506821	7.78183371434856	7.74448791921181	7.48612726995773	7.4693926219781	7.61921615160799	7.34376373529109	7.5107759529942	7.11656540461393	7.07841479911356	7.55726345283317	7.40318970662159	7.45873158016031	7.76128079538951	7.61534336866263	7.55643077574345	7.64524612877257	7.53908931931208	7.596611953018	7.35463990884866	7.55363416409249	8.05987154835048	7.48932061419907	7.86918385743622	7.7744648233221	7.51052815399506	7.8861578920308	7.55827707847983
WBIC_2098800	16.7735797482736	16.6902831653665	16.5242831327484	17.4039089303551	17.5982611487079	16.8448726964607	16.608672747319	17.1410184488022	17.1379172608202	17.4675569118493	17.0167677614227	16.5010585212782	17.2872704952711	16.2734757072238	16.035526748924	16.825305638059	17.0367990612287	17.1245482358195	17.0056996081536	17.1688371921237	15.9487357955395	16.4012384765245	16.3623321926257	17.1808077424671	17.484869290863	15.9915874655247	17.6636612598729	17.3198365466985	17.3618306075717	16.8368927832659	15.649961786804	17.174434282402	16.7450777297819
WBIC_448200	15.0616546840304	15.210474839409	15.1020594335425	15.798441227687	15.5363805564254	15.4240165442532	15.8041340896503	16.4114233884271	15.3952474072626	15.1147829047995	15.1558999373633	14.9201047972859	14.9469658634077	15.0787889525855	13.7792350668908	15.6016213611578	15.2325544966859	15.4147415688195	15.4114315779308	15.8241396688473	15.0748225635302	15.1477832156293	15.3071699813059	15.5238123617564	15.3256834479946	15.1609415622663	16.6465902833574	14.9608444052183	16.5672430419674	16.3027159759836	14.8971311039224	15.1986111277311	15.431502633486
WBIC_2674800	14.9090223870279	14.8561258727676	14.6317217268665	15.6360858722896	15.0843610436658	14.9361692806832	15.3797967076471	15.9054719388259	15.6700410935234	15.2860201202131	14.3826732106804	15.1283575094066	15.1984681760388	14.7633865423405	14.3534353819341	15.1410436435523	15.15832668964	14.4115505853676	15.2176665948125	16.520776394511	14.987321600106	14.6774261883041	15.2827698716546	15.4794513298751	15.7200295223468	15.0828696029152	15.7213535736839	15.3451646688622	16.4398794965029	15.7773464888729	14.7319168196414	14.8889263465864	15.3351526558953
WBIC_743600	15.5123615779095	16.2257238469317	15.6487152466243	16.0868734771454	16.7756808018694	15.9473396567818	16.1640090606497	16.8544959545642	15.5549173512846	15.4022094944595	15.8627808961299	14.941485501831	16.4555972185148	14.175613335376	14.9954232959276	15.8530844297805	16.2441451764489	16.0990106636301	15.5629826706533	16.3649585327105	15.7781552977147	15.8286330301724	15.4144501401249	16.0861704108555	15.70740287129	15.5099243129036	17.2365307000647	15.2209338142933	16.9665121666479	16.8458142218036	14.899260188907	17.0480979079517	15.4225111248794
